student_id,name,dob,gender,class_id,attendance_percentage,fee_status,phone
1,Dhiraj,2005-05-22,M,3,80.0,Paid,8697110736
2,Dhiraj,2005-05-22,M,3,60.0,Paid,9080537699
3,Aditya,2013-08-04,F,3,80.0,Pending,1234567890
4,Diya,2012-10-16,F,3,80.0,Pending,1234567890
5,Ananya,2011-02-16,M,2,86.88,Pending,1234567890
6,Ishaan,2013-04-23,M,4,90.58,Pending,1234567890
7,Meera,2011-09-03,F,1,100.0,Pending,1234567890
8,Rohan,2014-02-08,M,2,94.2,Pending,1234567890
9,Kavin,2011-05-31,F,2,92.65,Pending,1234567890
10,Nisha,2011-10-27,F,4,99.02,Pending,1234567890
11,Ritika,2012-05-10,F,1,0.0,Not Paid,1234567890
12,TestStudent,2010-05-15,M,1,0.0,Not Paid,1234567890
